vpm,method,mean,sd
0,det,0,0
0,signal,0,0
0,soft,0,0
0,hard,0,0
2.5,det,0.2865,0.04244
2.5,signal,20.63,2.061
2.5,soft,0.327,0.0683
2.5,hard,0.3037,0.06043
5,det,0.3497,0.04215
5,signal,21.52,1.776
5,soft,0.4483,0.1305
5,hard,0.5332,0.1472
7.5,det,0.4127,0.471
7.5,signal,21.58,1.577
7.5,soft,0.9372,0.3881
7.5,hard,0.7747,0.2333
10,det,0.4777,0.05994
10,signal,22.48,1.419
10,soft,1.774,0.9361
10,hard,2.013,1.305
12.5,det,0.5745,0.0907
12.5,signal,23.504,1.148
12.5,soft,5.202,3.652
12.5,hard,5.505,2.995
15,det,0.7279,0.1243
15,signal,23.51,1.221
15,soft,10.16,3.732
15,hard,12.76,4.337
