factor,config,mechanism,cost_ratio_mean,cost_ratio_sd
0.8,single,1st,,
0.8,single,2nd,,
0.8,single,ext,,
0.8,multiple,1st,1.641,2.052
0.8,multiple,2nd,1.878,2.500
0.8,multiple,ext,6.192,14.882
0.8,sequence,1st,,
0.8,sequence,2nd,,
0.8,sequence,ext,,
0.85,single,1st,,
0.85,single,2nd,,
0.85,single,ext,,
0.85,multiple,1st,1.651,2.080
0.85,multiple,2nd,1.885,2.542
0.85,multiple,ext,6.228,15.123
0.85,sequence,1st,,
0.85,sequence,2nd,,
0.85,sequence,ext,,
0.9,single,1st,,
0.9,single,2nd,,
0.9,single,ext,,
0.9,multiple,1st,1.693,2.109
0.9,multiple,2nd,1.925,2.579
0.9,multiple,ext,6.227,15.123
0.9,sequence,1st,,
0.9,sequence,2nd,,
0.9,sequence,ext,,
0.95,single,1st,,
0.95,single,2nd,,
0.95,single,ext,,
0.95,multiple,1st,1.736,2.138
0.95,multiple,2nd,1.964,2.616
0.95,multiple,ext,6.192,14.882
0.95,sequence,1st,,
0.95,sequence,2nd,,
0.95,sequence,ext,,
1,single,1st,1.000,0.000
1,single,2nd,1.000,0.000
1,single,ext,1.000,0.000
1,multiple,1st,1.000,0.000
1,multiple,2nd,1.000,0.000
1,multiple,ext,1.000,0.000
1,sequence,1st,1.000,0.000
1,sequence,2nd,1.000,0.000
1,sequence,ext,1.000,0.000
1.05,single,1st,,
1.05,single,2nd,,
1.05,single,ext,,
1.05,multiple,1st,1.820,2.196
1.05,multiple,2nd,2.044,2.686
1.05,multiple,ext,6.230,15.122
1.05,sequence,1st,,
1.05,sequence,2nd,,
1.05,sequence,ext,,
1.1,single,1st,,
1.1,single,2nd,,
1.1,single,ext,,
1.1,multiple,1st,1.780,2.078
1.1,multiple,2nd,1.988,2.549
1.1,multiple,ext,5.900,14.348
1.1,sequence,1st,,
1.1,sequence,2nd,,
1.1,sequence,ext,,
